WordItem,WordColor,thisN,thisTrialN,thisRepN,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome_screen.started,Welcome.started,keyWelcome.started,Welcome_screen.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,Instructions.started,textInstructions.started,keyInstructions.started,Instructions.stopped,keyInstructions.keys,keyInstructions.rt,keyInstructions.duration,Study_trail.started,textStudytrail.started,textStudytrail.stopped,Study_trail.stopped,Blank_Screen.started,textBlank.started,textBlank.stopped,Blank_Screen.stopped,Wait_Screen.started,textWaitScreen.started,keyWaitScreen.started,Wait_Screen.stopped,keyWaitScreen.keys,keyWaitScreen.rt,keyWaitScreen.duration,Y_N_Screen.started,text.started,key_resp.started,Y_N_Screen.stopped,key_resp.keys,key_resp.rt,key_resp.duration,StudyTrails.started,text_2.started,key_resp_2.started,StudyTrails.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,0.0092905,0.0265558,0.0265558,11.0604783,space,11.0136713,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shiv,1,2024-12-06_12h06.21.142,Solo project,2024.2.4,60.42354488,2024-12-06 12h06.34.539727 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,11.0605264,11.0712649,11.0712649,11.4230478,space,0.3445442,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shiv,1,2024-12-06_12h06.21.142,Solo project,2024.2.4,60.42354488,2024-12-06 12h06.34.539727 +0530
anxiety,blue,0,0,0,,,,0,0,0,0,,,,,11.437397,,,,,,,,,,,,,,,,11.4316716,11.437397,13.4380226,13.4216187,13.4216531,13.4380226,13.9369409,13.9216754,,,,,,,,,,,,,,,,,,,,,,Shiv,1,2024-12-06_12h06.21.142,Solo project,2024.2.4,60.42354488,2024-12-06 12h06.34.539727 +0530
depression,blue,1,1,0,,,,0,1,1,1,,,,,13.9369409,,,,,,,,,,,,,,,,13.9246298,13.9369409,15.9369919,15.9205492,15.9206031,15.9369919,16.435892,16.4209891,,,,,,,,,,,,,,,,,,,,,,Shiv,1,2024-12-06_12h06.21.142,Solo project,2024.2.4,60.42354488,2024-12-06 12h06.34.539727 +0530
joyous,yellow,2,2,0,,,,0,2,2,4,,,,,16.435892,,,,,,,,,,,,,,,,16.4247479,16.435892,18.4361206,18.4200587,18.420094,18.4361206,18.9348473,18.919858,,,,,,,,,,,,,,,,,,,,,,Shiv,1,2024-12-06_12h06.21.142,Solo project,2024.2.4,60.42354488,2024-12-06 12h06.34.539727 +0530
content,yellow,3,3,0,,,,0,3,3,5,,,,,18.9348473,,,,,,,,,,,,,,,,18.9221833,18.9348473,20.9353867,20.9190771,20.919119,20.9353867,21.4335586,21.4186014,,,,,,,,,,,,,,,,,,,,,,Shiv,1,2024-12-06_12h06.21.142,Solo project,2024.2.4,60.42354488,2024-12-06 12h06.34.539727 +0530
vexed,blue,4,4,0,,,,0,4,4,2,,,,,21.4335586,,,,,,,,,,,,,,,,21.4221207,21.4335586,23.433995,23.4180951,23.4181299,23.433995,23.9324972,23.9176247,,,,,,,,,,,,,,,,,,,,,,Shiv,1,2024-12-06_12h06.21.142,Solo project,2024.2.4,60.42354488,2024-12-06 12h06.34.539727 +0530
excited ,yellow,5,5,0,,,,0,5,5,3,,,,,23.9324972,,,,,,,,,,,,,,,,23.9203458,23.9324972,25.9322131,25.9163032,25.9163444,25.9322131,26.4319478,26.4164172,,,,,,,,,,,,,,,,,,,,,,Shiv,1,2024-12-06_12h06.21.142,Solo project,2024.2.4,60.42354488,2024-12-06 12h06.34.539727 +0530
vexed,blue,6,0,1,,,,1,0,6,2,,,,,26.4319478,,,,,,,,,,,,,,,,26.4189673,26.4319478,,28.4308812,28.4309423,28.4471223,,28.9308602,,,,,,,,,,,,,,,,,,,,,,Shiv,1,2024-12-06_12h06.21.142,Solo project,2024.2.4,60.42354488,2024-12-06 12h06.34.539727 +0530
joyous,yellow,7,1,1,,,,1,1,7,4,,,,,28.9477505,,,,,,,,,,,,,,,,28.93435,28.9477505,,30.9299336,30.9299722,30.9461975,,31.4299684,,,,,,,,,,,,,,,,,,,,,,Shiv,1,2024-12-06_12h06.21.142,Solo project,2024.2.4,60.42354488,2024-12-06 12h06.34.539727 +0530
depression,blue,8,2,1,,,,1,2,8,1,,,,,31.446073,,,,,,,,,,,,,,,,31.4332105,31.446073,,33.4285741,33.4286243,33.4448781,,33.9285713,,,,,,,,,,,,,,,,,,,,,,Shiv,1,2024-12-06_12h06.21.142,Solo project,2024.2.4,60.42354488,2024-12-06 12h06.34.539727 +0530
excited ,yellow,9,3,1,,,,1,3,9,3,,,,,33.9452955,,,,,,,,,,,,,,,,33.9316729,33.9452955,,35.9274205,35.9274584,35.9442058,,36.4272359,,,,,,,,,,,,,,,,,,,,,,Shiv,1,2024-12-06_12h06.21.142,Solo project,2024.2.4,60.42354488,2024-12-06 12h06.34.539727 +0530
