WordItem,WordColor,thisN,thisTrialN,thisRepN,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome_screen.started,Welcome.started,keyWelcome.started,Welcome_screen.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,Instructions.started,textInstructions.started,keyInstructions.started,Instructions.stopped,keyInstructions.keys,keyInstructions.rt,keyInstructions.duration,Study_trail.started,textStudytrail.started,textStudytrail.stopped,Study_trail.stopped,Blank_Screen.started,textBlank.started,textBlank.stopped,Blank_Screen.stopped,Wait_Screen.started,textWaitScreen.started,keyWaitScreen.started,Wait_Screen.stopped,keyWaitScreen.keys,keyWaitScreen.rt,keyWaitScreen.duration,Y_N_Screen.started,text.started,key_resp.started,Y_N_Screen.stopped,key_resp.keys,key_resp.rt,key_resp.duration,StudyTrails.started,text_2.started,key_resp_2.started,StudyTrails.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,0.0038467,0.0203576,0.0203576,3.3072448,space,3.2748491,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aaditya,1,2024-12-06_12h14.40.121,Solo project,2024.2.4,61.03053724,2024-12-06 12h14.56.230798 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,3.3072938,3.3188576,3.3188576,3.6537632,space,0.3265994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aaditya,1,2024-12-06_12h14.40.121,Solo project,2024.2.4,61.03053724,2024-12-06 12h14.56.230798 +0530
depression,blue,0,0,0,,,,0,0,0,1,,,,,3.668682,,,,,,,,,,,,,,,,3.6624033,3.668682,5.6679995,5.6518526,5.6518933,5.6679995,6.1681073,6.1525667,,,,,,,,,,,,,,,,,,,,,,aaditya,1,2024-12-06_12h14.40.121,Solo project,2024.2.4,61.03053724,2024-12-06 12h14.56.230798 +0530
excited ,yellow,1,1,0,,,,0,1,1,3,,,,,6.1681073,,,,,,,,,,,,,,,,6.1551842,6.1681073,8.1675662,8.1522896,8.1523443,8.1675662,8.667296,8.6505772,,,,,,,,,,,,,,,,,,,,,,aaditya,1,2024-12-06_12h14.40.121,Solo project,2024.2.4,61.03053724,2024-12-06 12h14.56.230798 +0530
joyous,yellow,2,2,0,,,,0,2,2,4,,,,,8.667296,,,,,,,,,,,,,,,,8.6547682,8.667296,,10.6666103,10.6666717,10.6826725,,11.1661035,,,,,,,,,,,,,,,,,,,,,,aaditya,1,2024-12-06_12h14.40.121,Solo project,2024.2.4,61.03053724,2024-12-06 12h14.56.230798 +0530
anxiety,blue,3,3,0,,,,0,3,3,0,,,,,11.1827234,,,,,,,,,,,,,,,,11.1688819,11.1827234,,13.1651776,13.1652228,13.1815414,,13.6649489,,,,,,,,,,,,,,,,,,,,,,aaditya,1,2024-12-06_12h14.40.121,Solo project,2024.2.4,61.03053724,2024-12-06 12h14.56.230798 +0530
vexed,blue,4,4,0,,,,0,4,4,2,,,,,13.6812772,,,,,,,,,,,,,,,,13.6683895,13.6812772,,15.6641664,15.6642116,15.6802337,,16.1640032,,,,,,,,,,,,,,,,,,,,,,aaditya,1,2024-12-06_12h14.40.121,Solo project,2024.2.4,61.03053724,2024-12-06 12h14.56.230798 +0530
content,yellow,5,5,0,,,,0,5,5,5,,,,,16.1804035,,,,,,,,,,,,,,,,16.1666299,16.1804035,,18.1628247,18.1628636,18.1800935,,18.6626928,,,,,,,,,,,,,,,,,,,,,,aaditya,1,2024-12-06_12h14.40.121,Solo project,2024.2.4,61.03053724,2024-12-06 12h14.56.230798 +0530
depression,blue,6,0,1,,,,1,0,6,1,,,,,18.6795262,,,,,,,,,,,,,,,,18.6657127,18.6795262,,20.6624164,20.6624665,20.6788447,,21.1620567,,,,,,,,,,,,,,,,,,,,,,aaditya,1,2024-12-06_12h14.40.121,Solo project,2024.2.4,61.03053724,2024-12-06 12h14.56.230798 +0530
excited ,yellow,7,1,1,,,,1,1,7,3,,,,,21.1782245,,,,,,,,,,,,,,,,21.1647168,21.1782245,,23.1608372,23.1608792,23.1771773,,23.6609529,,,,,,,,,,,,,,,,,,,,,,aaditya,1,2024-12-06_12h14.40.121,Solo project,2024.2.4,61.03053724,2024-12-06 12h14.56.230798 +0530
